sku,name,brand_name,sub_brand_name,package_id,container_name,container_size,container_returnable,container_unitOfMeasurement,sales_ranking
"0101WEB","QMWEB01","Journey","Journey","01WEB","Garrafa",1000,False,"ML",1
"0101ANDROID","QMANDROID01","Journey","Journey","01ANDROID","Garrafa",1000,False,"ML",1
"0101IOS","QMIOS01","Journey","Journey","01IOS","Garrafa",1000,False,"ML",1
"0102WEB","QMWEB02","Journey","Journey","02WEB","Garrafa",1000,False,"ML",2
"0102ANDROID","QMANDROID02","Journey","Journey","02ANDROID","Garrafa",1000,False,"ML",2
"0102IOS","QMIOS02","Journey","Journey","02IOS","Garrafa",1000,False,"ML",2
"0103WEB","QMWEB03","Journey","Journey","03WEB","Garrafa",1000,False,"ML",3
"0103ANDROID","QMANDROID03","Journey","Journey","03ANDROID","Garrafa",1000,False,"ML",2
"0103IOS","QMIOS03","Journey","Journey","03IOS","Garrafa",1000,False,"ML",2
"0104WEB","QMWEB04","Journey","Journey","04WEB","Garrafa",1000,False,"ML",3
"0104ANDROID","QMANDROID04","Journey","Journey","04ANDROID","Garrafa",1000,False,"ML",2
"0104IOS","QMIOS04","Journey","Journey","04IOS","Garrafa",1000,False,"ML",2
"0105WEB","QMWEB05","Journey","Journey","05WEB","Garrafa",1000,False,"ML",3
"0105ANDROID","QMANDROID05","Journey","Journey","05ANDROID","Garrafa",1000,False,"ML",1
"0105IOS","QMIOS05","Journey","Journey","05IOS","Garrafa",1000,False,"ML",1
"0106WEB","QMWEB06","Journey","Journey","06WEB","Garrafa",1000,False,"ML",3
"0106ANDROID","QMANDROID06","Journey","Journey","06ANDROID","Garrafa",1000,False,"ML",1
"0106IOS","QMIOS06","Journey","Journey","06IOS","Garrafa",1000,False,"ML",1
"0107WEB","QMWEB07","Journey","Journey","07WEB","Garrafa",1000,False,"ML",3
"0107ANDROID","QMANDROID07","Journey","Journey","07ANDROID","Garrafa",1000,False,"ML",1
"0107IOS","QMIOS07","Journey","Journey","07IOS","Garrafa",1000,False,"ML",1
